"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1990 <= Year >= 2007""]"																																						
	1990	9	26	23	8	23.9			"SOUTH AFRICA:  WELKOM"	-28.014	26.727	5	4.2		2	1			5	1		1					2	1			5	1		1				
	1990	9	27	21	12	32.5			"KAZAKHSTAN:  ZAYSAN"	47.903	84.961	33	4.5	6								1												1				
	1990	10	18	9	30	44.4			"SOUTH AFRICA:  CHARLETONVILLE"	-26.39	27.349	5	4		10	1			6	1							10	1			6	1						
	1990	10	20	8	7	27.5			"CHINA:  GANSU PROVINCE:  TIANZHU"	37.093	103.781	12	5.8	4	7	1			92	2		3	87000	4			4	1			92	2		3	87000	4		
	1990	10	25	4	53	59.9			"AFGHANISTAN:  HINDU KUSH:  CHITRAL, MARDAN, MALAKAND"	35.121	70.486	114	6	4	11	1			250	3		1					11	1			250	3		1				
	1990	11	6	18	45	52.2			"IRAN:  S, DARAB"	28.251	55.462	11	6.7		22	1			100	2	232.3	4					22	1			100	2	232.3	4				
	1990	11	15	2	34	32.4			"INDONESIA:   N SUMATERA, BLANGKEJEREN, KUTACANE"	3.908	97.457	48	6.8		1	1			32	1	2.1	2					1	1			32	1	2.1	2				
	1990	11	27	4	37	58.5			"BALKANS NW:  BOSNIA-HERZEGOVINA:  TITOGRAD"	43.853	16.633	24	5.6	8					10	1		2									10	1		2				
	1990	12	1	18	9	28.8			"KYRGYZSTAN:  UZGEN"	40.854	73.553	29	4.6	6								3			1110	4								3			1110	4
	1990	12	13	0	24	25.7	2197		"ITALY:  SICILY:  CARLENTINI"	37.3	15.438	11	5.3	7	19	1			200	3	500	4					19	1			200	3	500	4				
	1990	12	13	3	1	48			"TAIWAN:  HUALIEN,  TAIPEI"	23.916	121.636	12	6.2	4	2	1			3	1		1					2	1			3	1		1				
	1990	12	13	19	50	17.8	2198		"TAIWAN:  HUA-LIEN"	23.722	121.627	10	6.3	5								1												1				
	1990	12	21	6	57	42.9			"GREECE:  EDHESSA, KILKIS"	41.004	22.3	13	5.9	7	1	1			60	2		1				2	1	1			60	2		1				2
	1990	12	22	17	27	54.8			"COSTA RICA:  ALAJUELA, SANTIAGO DE PURISCAL"	9.869	-84.302	17	5.7	8	2	1			350	3	19.5	3					2	1			350	3	19.5	3				
	1990	12	30	19	14	18.9			"PAPUA NEW GUINEA:  NEW BRITAIN"	-5.097	150.967	179	7.5									1												1				
	1991	1	5	14	57	11.5			"MYANMAR (BURMA):  THABEIKKYIN, MANDALAY"	23.613	95.901	20	7.1									1			32	1								1			32	1
	1991	1	31	23	3	33.6			"AFGHANISTAN:  BADAKHSTAN, BAGHLAN, LAGHMAN, NAGARHAR"	35.993	70.423	142	6.4	7	848	3			200	3	36	4		3	2000	4	848	3			200	3	36	4		3	2000	4
	1991	2	9	16	18	58.3	2199		"SOLOMON ISLANDS"	-9.929	159.139	10	6.9									1												1				
	1991	2	13	15	49	38.9			"FRANCE"	44.885	6.76	5	3.8		9	1						1					9	1						1				
	1991	2	16	1	23	40.4	2200		"RUSSIA:  KURIL ISLANDS"	48.268	154.328	39	5.7																									
	1991	2	21	2	35	34	2201		"BERING SEA"	58.427	-175.45	20	6.7																									
	1991	2	25	14	30	27.6			"CHINA:  S XINJIANG:  KALPIN"	40.386	78.959	21	6.1						3	1		2	8561	4							3	1		2	8561	4		
	1991	3	25	18	2	41.5			"CHINA:  NE, DATONG"	39.887	113.923	10	5.5						131	3		2	1328	4							131	3		2	1328	4		
	1991	4	4	15	23	20.7			"PERU:  RIOJA, NEUVA CAJAMARCA"	-6.038	-77.13	21	6.4	5					10	1		1			15	1					10	1		1			15	1
	1991	4	5	4	19	49.5			"PERU:  RIOJA, MOYOBAMBA, NUEVA CAJAMARCA"	-5.982	-77.094	20	6.7	7	53	2			252	3		3			8063	4	53	2			252	3		3			8063	4
	1991	4	18	9	18	30.4			"AFGHANISTAN:  BADAKHSTAN PROVINCE"	37.457	68.273	33	5.1	7		2				3		3			1000	3		2				3		3			1000	3
	1991	4	20	17	8	20.2			"AFGHANISTAN:  HINDU KUSH:  BADAKHSTAN, KABUL"	36.416	70.912	33	4.1									1			100	2								1			100	2
	1991	4	22	21	56	51.8	2202		"COSTA RICA:  LIMON, PANDORA;  PANAMA"	9.685	-83.073	10	7.6	10	87	2			895	3	510	4		3			90	2			895	3	510	4		3		
	1991	4	24	10	54	35.7			"TURKEY:  ERZURUM PROVINCE"	39.597	41.118	33	4.5		1	1			3	1		1				2	1	1			3	1		1				2
	1991	4	29	9	12	48.1			"GEORGIA:  DZHAVA, CHIATURA, AMBROLAURI"	42.453	43.673	17	7	9	270	3					1700	4		4			270	3					1700	4		4		
	1991	5	4	3	42	54.5			"PANAMA:  CHANGUINOLA, ALMIRANTE, BOCAS DEL TORO"	9.542	-82.418	10	6.2						36	1		2									36	1		2				
	1991	5	15	14	28	50.1			"GEORGIA:  KHEKHETI"	42.565	43.349	14	4.9	5		1						1	45	1				1						1	45	1		
	1991	5	26	10	59	48.9			"MALAYSIA:  KALIMANTAN:  RANAU"	5.865	116.746	33	4.5		1	1						1					1	1						1				
	1991	6	15	0	59	20.3			"GEORGIA:  DZHAVA, TSKHINVALI, OSSETIA"	42.461	44.009	9	6.1	8	8	1			200	3		3					8	1			200	3						
	1991	6	15	11	15	28		4428	"PHILIPPINES:  LUZON:  MANILA, PINATUBO ERUPTION"	15.119	120.355	10	5.5														800	3			4	1		3				
	1991	6	16	11	7	10.6			"TURKEY:  KAGIZMAN"	39.984	42.875	26	4.5									2																
